Word,freqfilms2,freqlivres,cgram
abaca,0.01,0.00,NOM
abaissant,0.03,0.27,ADJ
abaisse,0.02,0.00,NOM
abaissé,0.03,0.20,ADJ
abaissement,0.31,2.16,NOM
abaisser,1.09,2.91,VER
abalone,0.01,0.00,NOM
abandon,4.77,25.20,NOM
abandonné,3.84,8.45,ADJ
abandonner,28.37,27.70,VER
abandonnique,0.00,0.07,ADJ
abaque,0.00,0.07,NOM
abasourdi,0.24,2.03,ADJ
abasourdir,0.01,0.14,VER
abasourdissant,0.01,0.00,ADJ
abatage,0.00,0.07,NOM
abâtardir,0.00,0.07,VER
abatis,0.00,0.88,NOM
abattage,0.63,1.15,NOM
abattant,0.05,0.54,NOM
abattement,0.17,2.36,NOM
abatteur,0.14,0.20,NOM
abattis,0.14,1.08,NOM
abattoir,2.67,2.36,NOM
abattre,14.43,14.32,VER
abattu,0.18,1.22,NOM
abattu,1.82,3.78,ADJ
abbatial,0.00,0.27,ADJ
abbatiale,0.00,0.14,NOM
abbaye,3.66,3.31,NOM
abcès,1.79,3.31,NOM
abdication,0.05,1.82,NOM
abdiquer,0.08,0.41,VER
abdomen,2.76,1.55,NOM
abdominal,0.50,0.00,ADJ
abdos,0.86,0.00,NOM
abducteur,0.01,0.00,ADJ
abduction,0.05,0.00,NOM
abécédaire,0.18,0.07,NOM
abeille,3.53,3.18,NOM
aberrant,0.58,1.08,ADJ
aberration,0.89,3.31,NOM
abêti,0.00,0.14,ADJ
abêtir,0.01,0.54,VER
abêtissement,0.00,0.54,NOM
abhorré,0.00,0.20,ADJ
abhorrer,0.00,0.14,VER
abîme,5.03,14.59,NOM
abîmer,5.40,5.95,VER
abject,1.40,1.69,ADJ
abjectement,0.10,0.07,ADV
abjection,0.37,2.16,NOM
abjuration,0.00,0.41,NOM
abjurer,0.22,0.68,VER
abkhaze,0.00,0.07,ADJ
ablatif,0.00,0.14,NOM
ablation,0.43,1.28,NOM
ablette,0.00,0.41,NOM
ablution,0.01,0.14,NOM
abnégation,0.91,3.58,NOM
aboiement,0.44,2.36,NOM
aboli,0.02,1.28,ADJ
abolir,1.08,2.97,VER
abolition,0.45,1.49,NOM
abolitionniste,0.03,0.00,ADJ
abolitionniste,0.07,0.00,NOM
abominable,4.78,8.99,ADJ
abominablement,0.01,0.68,ADV
abomination,1.24,3.04,NOM
abominer,0.00,0.07,VER
abondamment,0.30,4.93,ADV
abondance,2.76,9.39,NOM
abondant,0.09,1.42,ADJ
abonder,0.03,0.61,VER
abonné,0.30,0.00,ADJ
abonné,0.30,0.34,NOM
abonnement,3.37,1.55,NOM
abonner,0.27,0.14,VER
abord,0.89,7.30,NOM
abordable,0.34,0.20,ADJ
abordage,1.17,1.42,NOM
abordé,0.03,0.14,ADJ
aborder,5.65,12.91,VER
aborigène,0.10,0.00,ADJ
aborigène,0.21,0.00,NOM
abornement,0.00,0.07,NOM
abortif,0.01,0.00,ADJ
aboucher,0.00,0.34,VER
abouler,0.11,0.14,VER
aboulie,0.00,0.14,NOM
aboulique,0.00,0.07,NOM
about,5.94,0.47,NOM
abouti,0.04,0.14,ADJ
aboutir,1.34,9.80,VER
aboutissant,0.00,0.14,NOM
aboutissement,0.50,4.05,NOM
aboyant,0.01,0.14,ADJ
aboyer,2.39,3.04,VER
aboyeur,0.03,0.00,ADJ
aboyeur,0.05,0.34,NOM
abracadabra,0.98,0.27,NOM
abracadabrant,0.03,0.20,ADJ
abrasif,0.04,0.27,ADJ
abrasif,0.13,0.34,NOM
abrasion,0.19,0.14,NOM
abraxas,0.29,0.00,NOM
abrégé,0.06,0.14,ADJ
abrégé,0.11,0.47,NOM
abréger,1.61,1.82,VER
abreuvage,0.00,0.07,NOM
abreuvé,0.00,0.14,ADJ
abreuver,0.48,2.09,VER
abreuvoir,0.34,3.24,NOM
abréviatif,0.00,0.07,ADJ
abréviation,0.37,0.41,NOM
abribus,0.04,0.14,NOM
abricot,0.08,0.68,ADJ
abricot,0.50,1.15,NOM
abricotier,0.02,0.14,NOM
abricotine,0.00,0.07,NOM
abritant,0.01,0.00,ADJ
abrité,0.13,0.68,ADJ
abriter,2.37,6.96,VER
abrogation,0.16,0.14,NOM
abrogé,0.01,0.00,ADJ
abroger,0.09,0.07,VER
abrupt,0.00,0.34,NOM
abrupt,0.54,2.23,ADJ
abruptement,0.07,2.03,ADV
abruti,5.24,3.04,ADJ
abruti,19.13,4.39,NOM
abrutir,0.11,0.95,VER
abrutissant,0.14,0.14,ADJ
abrutissement,0.13,1.42,NOM
abrutisseur,0.00,0.07,NOM
abscisse,0.02,0.00,NOM
abscission,0.00,0.07,NOM
abscons,0.12,0.54,ADJ
absence,22.02,72.50,NOM
